CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,DEFENSE_CATEGORY,SEASON,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FGM_GT_15,FGA_GT_15,GT_15_PCT,NS_GT_15_PCT
1641737,Adem Bona,1610612755,PHI,F,23.0,70,68,0.643,,,,,-0.04,2 Pointers,2025-26,195.0,370.0,0.527,0.567,,,,,,,,,,,,
2544,LeBron James,1610612747,LAL,F,41.0,60,60,0.579,,,,,0.034,2 Pointers,2025-26,193.0,329.0,0.587,0.552,,,,,,,,,,,,
1629014,Anfernee Simons,1610612741,CHI,G,27.0,55,55,0.642,,,,,0.005,2 Pointers,2025-26,170.0,314.0,0.541,0.536,,,,,,,,,,,,
203484,Kentavious Caldwell-Pope,1610612763,MEM,G,33.0,50,47,0.591,,,,,0.093,2 Pointers,2025-26,108.0,169.0,0.639,0.546,,,,,,,,,,,,
1630574,Ariel Hukporti,1610612752,NYK,C,24.0,50,44,0.654,,,,,-0.127,2 Pointers,2025-26,67.0,159.0,0.421,0.548,,,,,,,,,,,,
1642845,VJ Edgecombe,1610612755,PHI,G,20.0,74,73,0.372,,,,,0.014,Less Than 6Ft,2025-26,,,,,232.0,357.0,0.65,0.636,,,,,,,,
1630178,Tyrese Maxey,1610612755,PHI,G,25.0,70,69,0.329,,,,,0.027,Less Than 6Ft,2025-26,,,,,189.0,289.0,0.654,0.627,,,,,,,,
203954,Joel Embiid,1610612755,PHI,C-F,32.0,38,38,0.436,,,,,-0.053,Less Than 6Ft,2025-26,,,,,160.0,271.0,0.59,0.644,,,,,,,,
1641737,Adem Bona,1610612755,PHI,F,23.0,70,64,0.4,,,,,-0.083,Less Than 6Ft,2025-26,,,,,131.0,230.0,0.57,0.653,,,,,,,,
2544,LeBron James,1610612747,LAL,F,41.0,60,59,0.391,,,,,-0.003,Less Than 6Ft,2025-26,,,,,141.0,222.0,0.635,0.638,,,,,,,,
1627759,Jaylen Brown,1610612738,BOS,G-F,29.0,71,68,0.271,,,,,-0.057,Less Than 6Ft,2025-26,,,,,123.0,218.0,0.564,0.621,,,,,,,,
1629731,Dean Wade,1610612739,CLE,F-C,29.0,58,55,0.369,,,,,-0.028,Less Than 6Ft,2025-26,,,,,125.0,208.0,0.601,0.629,,,,,,,,
1629014,Anfernee Simons,1610612741,CHI,G,27.0,55,54,0.419,,,,,0.006,Less Than 6Ft,2025-26,,,,,129.0,205.0,0.629,0.623,,,,,,,,
1630574,Ariel Hukporti,1610612752,NYK,C,24.0,50,37,0.407,,,,,-0.108,Less Than 6Ft,2025-26,,,,,52.0,99.0,0.525,0.633,,,,,,,,
